ProductName,MRP,SKU,Subcategory,Unit,Stock,MinStock,Description
SAKTHI SAMBAR POWDER 100GM,56,SAKSAMPOW-0030,SPICES,packet,100,10,SAKTHI SAMBAR POWDER 100GM
SAKTHI SAMBAR POWDER 50GM,29,SAKSAMPOW-0031,SPICES,packet,100,10,SAKTHI SAMBAR POWDER 50GM
SAKTHI CHICKEN MASALA 50GM,35,SAKCHIMAS-0032,SPICES,packet,100,10,SAKTHI CHICKEN MASALA 50GM
SAKTHI GARAM MASALA 50GM,50,SAKGARMAS-0033,SPICES,packet,100,10,SAKTHI GARAM MASALA 50GM
SAKTHI MUTTON MASALA 50GM,40,SAKMUTMAS-0034,SPICES,packet,100,10,SAKTHI MUTTON MASALA 50GM
SAKTHI MUTTON MASALA 100GM,90,SAKMUTMAS-0035,SPICES,packet,100,10,SAKTHI MUTTON MASALA 100GM
SAKTHI BRIYANI MASALA 50GM,40,SAKBRIMAS-0036,SPICES,packet,100,10,SAKTHI BRIYANI MASALA 50GM
SAKTHI CHILLI CHICKEN 65 50GM,39,SAKCHICHI-0037,SPICES,packet,100,10,SAKTHI CHILLI CHICKEN 65 50GM
SAKTHI RAGI FLOUR 500GM,47,SAKRAGFLO-0038,RICE,packet,100,10,SAKTHI RAGI FLOUR 500GM
UDHAYA KRISHNA GHEE 100ML,120,UDHKRIGHE-0039,GHEE,ml,100,10,UDHAYA KRISHNA GHEE 100ML
UDHAYA KRISHNA GHEE 200ML,210,UDHKRIGHE-0040,GHEE,ml,100,10,UDHAYA KRISHNA GHEE 200ML
UDHAYA KRISHNA GHEE 10RS,10,UDHKRIGHE-0041,GHEE,piece,100,10,UDHAYA KRISHNA GHEE 10RS
HIDE&SEEK CHOCOCHIP 30,30,HIDCHO30-0042,BAKERY,piece,100,10,HIDE&SEEK CHOCOCHIP 30
PAR MELODY CHOCOLATE,50,PARMELCHO-0043,BAKERY,piece,100,10,PAR MELODY CHOCOLATE
AC TURMERIC POWDER 50GM,21,ACTURPOW-0044,SPICES,packet,100,10,AC TURMERIC POWDER 50GM
AC TURMERIC POWDER 500GM,210,ACTURPOW-0045,SPICES,packet,100,10,AC TURMERIC POWDER 500GM
AC GARAM MASALA 100GM,72,ACGARMAS-0046,SPICES,packet,100,10,AC GARAM MASALA 100GM
AC CHICKEN MASALA 50GM,25,ACCHIMAS-0047,SPICES,packet,100,10,AC CHICKEN MASALA 50GM
AC CHICKEN MASALA 100GM,42,ACCHIMAS-0048,SPICES,packet,100,10,AC CHICKEN MASALA 100GM
AC SAMBAR POWDER 50GM,23,ACSAMPOW-0049,SPICES,packet,100,10,AC SAMBAR POWDER 50GM
AC KULAMBU CHILLI POWDER 200GM,72,ACKULCHI-0050,SPICES,packet,100,10,AC KULAMBU CHILLI POWDER 200GM
AC CORIANDER POWDER 50GM,14,ACCORPOW-0051,SPICES,packet,100,10,AC CORIANDER POWDER 50GM
AC CORIANDER POWDER 100GM,36,ACCORPOW-0052,SPICES,packet,100,10,AC CORIANDER POWDER 100GM
AC CORIANDER POWDER 200GM,56,ACCORPOW-0053,SPICES,packet,100,10,AC CORIANDER POWDER 200GM
AC BRIYANI MASALA 100GM,88,ACBRIMAS-0054,SPICES,packet,100,10,AC BRIYANI MASALA 100GM
AC CURRY MASALA 50GM,30,ACCURMAS-0055,SPICES,packet,100,10,AC CURRY MASALA 50GM
AC CURRY MASALA 100GM,52,ACCURMAS-0056,SPICES,packet,100,10,AC CURRY MASALA 100GM
AC FISH CURRY 50GM,28,ACFISCUR-0057,GENERAL,packet,100,10,AC FISH CURRY 50GM
AC FISH FRY MASALA 50GM,36,ACFISFRY-0058,SPICES,packet,100,10,AC FISH FRY MASALA 50GM
AC MUTTON MASALA 100GM,64,ACMUTMAS-0059,SPICES,packet,100,10,AC MUTTON MASALA 100GM
AC MUTTON MASALA 50GM,30,ACMUTMAS-0060,SPICES,packet,100,10,AC MUTTON MASALA 50GM
AC KASHMIRI CHILLI POWDER 100GM.,118,ACKASCHI-0061,SPICES,packet,100,10,AC KASHMIRI CHILLI POWDER 100GM.
AC CUMIN POWDER 50GM,42,ACCUMPOW-0062,GENERAL,packet,100,10,AC CUMIN POWDER 50GM
AC CUMIN POWDER 100GM,83,ACCUMPOW-0063,GENERAL,packet,100,10,AC CUMIN POWDER 100GM
AC CHICKEN 65 100GM,66,ACCHI65-0064,SPICES,packet,100,10,AC CHICKEN 65 100GM
AC RASAM POWDER 50GM,38,ACRASPOW-0065,GENERAL,packet,100,10,AC RASAM POWDER 50GM
AC RASAM POWDER 100GM,76,ACRASPOW-0066,GENERAL,packet,100,10,AC RASAM POWDER 100GM
AC CHILLI CHICKEN MASALA 50GM,32,ACCHICHI-0067,SPICES,packet,100,10,AC CHILLI CHICKEN MASALA 50GM
AC VATHA KULAMBU MASALA 50GM,26,ACVATKUL-0068,SPICES,packet,100,10,AC VATHA KULAMBU MASALA 50GM
AC IDIY CHILLI POWDER,10,ACIDICHI-0069,SPICES,piece,100,10,AC IDIY CHILLI POWDER
DOVE DAILY SHINE,490,DOVDAISHI-0070,GENERAL,piece,100,10,DOVE DAILY SHINE
DOVE INTENSE REPAIR,447,DOVINTREP-0071,GENERAL,piece,100,10,DOVE INTENSE REPAIR
INDULEKHA OIL,468,INDOIL-0072,OILS,piece,100,10,INDULEKHA OIL
CLEAR,2,CLE-0073,GENERAL,piece,100,10,CLEAR
CLINIC PLUS,1,CLIPLU-0074,GENERAL,piece,100,10,CLINIC PLUS
CLINIC PLUS SL,358,CLIPLUSL-0075,GENERAL,piece,100,10,CLINIC PLUS SL
CHANDRIKA AYUR,110,CHAAYU-0076,GENERAL,piece,100,10,CHANDRIKA AYUR
SANTOOR ORG 100G,42,SANORG100-0077,DHALL,piece,100,10,SANTOOR ORG 100G
SANTOOR 100G 4*1,160,SAN10041-0078,DHALL,piece,100,10,SANTOOR 100G 4*1
SOFTOUCH FRENCH PERFUME,235,SOFFREPER-0079,GENERAL,piece,100,10,SOFTOUCH FRENCH PERFUME
SOFTOUCH ROYAL PERFUME,235,SOFROYPER-0080,GENERAL,piece,100,10,SOFTOUCH ROYAL PERFUME
SOFTOUCH OCEAN BREEZE,235,SOFOCEBRE-0081,GENERAL,piece,100,10,SOFTOUCH OCEAN BREEZE
SOFTOUCH GARDEN BOUQUET,235,SOFGARBOU-0082,GENERAL,piece,100,10,SOFTOUCH GARDEN BOUQUET
SAFE WASH MAT LIQ 1LTR,99,SAFWASMAT-0083,GENERAL,liter,100,10,SAFE WASH MAT LIQ 1LTR
DARWIN ACID 500G,60,DARACI500-0084,GENERAL,piece,100,10,DARWIN ACID 500G
KINDER CREAMY,30,KINCRE-0085,GENERAL,piece,100,10,KINDER CREAMY
KINDER JOY,50,KINJOY-0086,GENERAL,piece,100,10,KINDER JOY
NUTELLA 350GM,399,NUT350-0087,GENERAL,packet,100,10,NUTELLA 350GM
PASTA ELBO 500GM,75,PASELB500-0088,GENERAL,packet,100,10,PASTA ELBO 500GM
PASTA PENNE 500GM,75,PASPEN500-0089,GENERAL,packet,100,10,PASTA PENNE 500GM
PASTA SPIRAL 500GM,75,PASSPI500-0090,GENERAL,packet,100,10,PASTA SPIRAL 500GM
BABINO ROST VERMICELLI 650GM JAR,110,BABROSVER-0091,GENERAL,packet,100,10,BABINO ROST VERMICELLI 650GM JAR
BAMBINO VERMICELLI 400GM,52,BAMVER400-0092,GENERAL,packet,100,10,BAMBINO VERMICELLI 400GM
BAMBINO VERMICELLI 850GM,85,BAMVER850-0093,GENERAL,packet,100,10,BAMBINO VERMICELLI 850GM
BAMBINO VERMICHLLI 140GM,16,BAMVER140-0094,GENERAL,packet,100,10,BAMBINO VERMICHLLI 140GM
BAMBINO ROST VERMICELLI 200GM,30,BAMROSVER-0095,GENERAL,packet,100,10,BAMBINO ROST VERMICELLI 200GM
BAMBINO ROST VERMICELLI 400GM,58,BAMROSVER-0096,GENERAL,packet,100,10,BAMBINO ROST VERMICELLI 400GM
FORTUNE ATTA 1KG,102,FORATT1KG-0097,FLOUR,bag,100,10,FORTUNE ATTA 1KG
FORTUNE 5 LTR JAR,895,FOR5LTR-0098,OILS,liter,100,10,FORTUNE 5 LTR JAR
FORTUNE 3 LTR JAR,585,FOR3LTR-0099,OILS,liter,100,10,FORTUNE 3 LTR JAR
FORTUNE ATTA 1/2 KG,50,FORATT12-0100,FLOUR,bag,100,10,FORTUNE ATTA 1/2 KG
FORTUNE SUPER BASMATHI RICE 1KG,220,FORSUPBAS-0101,RICE,bag,100,10,FORTUNE SUPER BASMATHI RICE 1KG
MUSTARD OIL 200ML,75,MUSOIL200-0102,OILS,ml,100,10,MUSTARD OIL 200ML
MUSTARD OIL 500ML,125,MUSOIL500-0103,OILS,ml,100,10,MUSTARD OIL 500ML
THANGAM GINGELLY OIL 500ML,195,THAGINOIL-0104,OILS,ml,100,10,THANGAM GINGELLY OIL 500ML
THANGAM GINGELLY OIL 1LTR,379,THAGINOIL-0105,OILS,liter,100,10,THANGAM GINGELLY OIL 1LTR
ELITE MILK RUSK 200GM,35,ELIMILRUS-0106,BAKERY,packet,100,10,ELITE MILK RUSK 200GM
ELITE SOOJI RUSK 200GM,35,ELISOORUS-0107,FLOUR,packet,100,10,ELITE SOOJI RUSK 200GM
ELITE BUTTE CUP 100GM,30,ELIBUTCUP-0108,GENERAL,packet,100,10,ELITE BUTTE CUP 100GM
ELITE DREAM CARROT CUP CAKE 150GM,50,ELIDRECAR-0109,BAKERY,packet,100,10,ELITE DREAM CARROT CUP CAKE 150GM
ELITE DATES PUDING 150GM,60,ELIDATPUD-0110,BAKERY,packet,100,10,ELITE DATES PUDING 150GM
ELITE BROWNIE CAKE 50GM,20,ELIBROCAK-0111,BAKERY,packet,100,10,ELITE BROWNIE CAKE 50GM
ELITE CAKE CHOCOLATE 140GM,40,ELICAKCHO-0112,BAKERY,packet,100,10,ELITE CAKE CHOCOLATE 140GM
MEDIMIX 125GM SET,135,MED125SET-0113,PERSONAL_CARE,packet,100,10,MEDIMIX 125GM SET
MEDIMIX 150GM 4*1,252,MED15041-0114,PERSONAL_CARE,packet,100,10,MEDIMIX 150GM 4*1
MEDIMIX SANDAL 4*125GM,200,MEDSAN412-0115,PERSONAL_CARE,packet,100,10,MEDIMIX SANDAL 4*125GM
MEDIMIX 35GM,10,MED35G-0116,PERSONAL_CARE,packet,100,10,MEDIMIX 35GM
ASWINI 170ML,210,ASW170-0117,GENERAL,ml,100,10,ASWINI 170ML
ACT-2 CHILLI SURPRISE,10,ACTCHISUR-0118,SPICES,piece,100,10,ACT-2 CHILLI SURPRISE
ACT-2 CLASSIC SALTED,10,ACTCLASAL-0119,SNACKS,liter,100,10,ACT-2 CLASSIC SALTED
ACT-2 MAGIC BUTTER,10,ACTMAGBUT-0120,BAKERY,piece,100,10,ACT-2 MAGIC BUTTER
SUNDROP PEANUT BUTTER,295,SUNPEABUT-0121,BAKERY,piece,100,10,SUNDROP PEANUT BUTTER
HIM NEEM & TURMERIC,41,HIMNEETUR-0122,SPICES,piece,100,10,HIM NEEM & TURMERIC
HIM GENTEL BABY SOAP 75GM,70,HIMGENBAB-0123,PERSONAL_CARE,packet,100,10,HIM GENTEL BABY SOAP 75GM
HIM REFRESHING BABY 75GM,70,HIMREFBAB-0124,PERSONAL_CARE,packet,100,10,HIM REFRESHING BABY 75GM
HIM EXTRA MOISTURIZING BABY SOAP75GM,70,HIMEXTMOI-0125,PERSONAL_CARE,packet,100,10,HIM EXTRA MOISTURIZING BABY SOAP75GM
HIM GENTEL BABY SOAP 125GM,105,HIMGENBAB-0126,PERSONAL_CARE,packet,100,10,HIM GENTEL BABY SOAP 125GM
HIM EXTRA MOISTURIZING BABY SOAP 125GM,105,HIMEXTMOI-0127,PERSONAL_CARE,packet,100,10,HIM EXTRA MOISTURIZING BABY SOAP 125GM
HIM REFRESHING BABY 125GM,95,HIMREFBAB-0128,PERSONAL_CARE,packet,100,10,HIM REFRESHING BABY 125GM
HIM GENTLE BABY SHAMPOO 60ML,65,HIMGENBAB-0129,PERSONAL_CARE,ml,100,10,HIM GENTLE BABY SHAMPOO 60ML
HIM GENTLE BABY SHAMPOO 110ML,120,HIMGENBAB-0130,PERSONAL_CARE,ml,100,10,HIM GENTLE BABY SHAMPOO 110ML
HIM GENTLE BABY SHAMPOO 200ML,220,HIMGENBAB-0131,PERSONAL_CARE,ml,100,10,HIM GENTLE BABY SHAMPOO 200ML
HIM BABY LOTION,115,HIMBABLOT-0132,PERSONAL_CARE,piece,100,10,HIM BABY LOTION
HIM PUR NEEM FA WASH 50ML,90,HIMPURNEE-0133,PERSONAL_CARE,ml,100,10,HIM PUR NEEM FA WASH 50ML
HIM PUR NEEM FA WASH 100ML,189,HIMPURNEE-0134,PERSONAL_CARE,ml,100,10,HIM PUR NEEM FA WASH 100ML
HIM PASTE COM CARE 40GM,20,HIMPASCOM-0135,PERSONAL_CARE,packet,100,10,HIM PASTE COM CARE 40GM
HIM PASTE COM CARE 150GM,177,HIMPASCOM-0136,PERSONAL_CARE,packet,100,10,HIM PASTE COM CARE 150GM
IYARKAI GIN OIL 100ML,44,IYAGINOIL-0137,OILS,ml,100,10,IYARKAI GIN OIL 100ML
IYARKAI GIN OIL 200ML,82,IYAGINOIL-0138,OILS,ml,100,10,IYARKAI GIN OIL 200ML
IYARKAI GIN OIL 500ML,195,IYAGINOIL-0139,OILS,ml,100,10,IYARKAI GIN OIL 500ML
IYARKAI GIN OIL 1LTR,385,IYAGINOIL-0140,OILS,liter,100,10,IYARKAI GIN OIL 1LTR
IYARKAI GIN OIL 15LTR,4500,IYAGINOIL-0141,OILS,liter,100,10,IYARKAI GIN OIL 15LTR
REF SUNFLOWER OIL 15LTR,2500,REFSUNOIL-0142,OILS,liter,100,10,REF SUNFLOWER OIL 15LTR
GRB BAJJI BONDA MIX 200G,39,GRBBAJBON-0143,SPICES,piece,100,10,GRB BAJJI BONDA MIX 200G
GRB BUTTER SCOTCH SOANPADI,58,GRBBUTSCO-0144,BAKERY,piece,100,10,GRB BUTTER SCOTCH SOANPADI
GRB CHOCOLATE SOANPAPDI,75,GRBCHOSOA-0145,BAKERY,piece,100,10,GRB CHOCOLATE SOANPAPDI
GRB ELACHI SOANPAPDI,75,GRBELASOA-0146,GENERAL,piece,100,10,GRB ELACHI SOANPAPDI
GRB GULAB JAMUN 125GM,40,GRBGULJAM-0147,GENERAL,packet,100,10,GRB GULAB JAMUN 125GM
GRB GULAB RASOGOLLA,40,GRBGULRAS-0148,GENERAL,piece,100,10,GRB GULAB RASOGOLLA
GRB ORANGE SOANPAPDI,70,GRBORASOA-0149,GENERAL,piece,100,10,GRB ORANGE SOANPAPDI
GRB PINEAPPLE SOANPAPDI,75,GRBPINSOA-0150,GENERAL,piece,100,10,GRB PINEAPPLE SOANPAPDI
PET FROOTI 1800ML,100,PETFRO180-0151,GENERAL,ml,100,10,PET FROOTI 1800ML
TETRA FROOTI 125ML,10,TETFRO125-0152,GENERAL,ml,100,10,TETRA FROOTI 125ML
TETRA CHOCOLATE SMOODU,10,TETCHOSMO-0153,BAKERY,piece,100,10,TETRA CHOCOLATE SMOODU
UNIBIC BUTTER COOKIES,10,UNIBUTCOO-0154,BAKERY,piece,100,10,UNIBIC BUTTER COOKIES
UNIBIC CASHEW COOKIES,40,UNICASCOO-0155,SNACKS,piece,100,10,UNIBIC CASHEW COOKIES
UNIBIC CHOCOLATE CHOCO CHIP COOOKIES,30,UNICHOCHO-0156,BAKERY,piece,100,10,UNIBIC CHOCOLATE CHOCO CHIP COOOKIES
UNIBIC CASHEW BADAM COOKIES,10,UNICASBAD-0157,SNACKS,piece,100,10,UNIBIC CASHEW BADAM COOKIES
UNIBIC FRUIT & NUT COOKIES,10,UNIFRUNUT-0158,SNACKS,piece,100,10,UNIBIC FRUIT & NUT COOKIES
UNIBIC FRUIT AND NUT COOKIES,30,UNIFRUAND-0159,SNACKS,piece,100,10,UNIBIC FRUIT AND NUT COOKIES
TATA RED RICE AVAL,61,TATREDRIC-0160,RICE,piece,100,10,TATA RED RICE AVAL
TATA SAMPN AVAL,57,TATSAMAVA-0161,GENERAL,piece,100,10,TATA SAMPN AVAL
CHINGS DARK SOY SAUCE,25,CHIDARSOY-0162,CONDIMENTS,piece,100,10,CHINGS DARK SOY SAUCE
CHINGS RED CHILL SAUCE,25,CHIREDCHI-0163,CONDIMENTS,piece,100,10,CHINGS RED CHILL SAUCE
CHINGS GREEN CHILLISAUCE,25,CHIGRECHI-0164,SPICES,piece,100,10,CHINGS GREEN CHILLISAUCE
CHINGS HOT GARLIC NOODLES,20,CHIHOTGAR-0165,GENERAL,piece,100,10,CHINGS HOT GARLIC NOODLES
PLAIN NOODLES 1KG,100,PLANOO1KG-0166,GENERAL,bag,100,10,PLAIN NOODLES 1KG
TRYMI ROUND APPALAM,110,TRYROUAPP-0167,GENERAL,piece,100,10,TRYMI ROUND APPALAM
TRYMI VADAGAM 1kg,180,TRYVAD1KG-0168,GENERAL,bag,100,10,TRYMI VADAGAM 1kg
PEPPER 1KG,1000,PEP1KG-0169,SPICES,bag,100,10,PEPPER 1KG
MUSTARD ( KADUGU ) 1KG,110,MUSKAD1KG-0170,OILS,bag,100,10,MUSTARD ( KADUGU ) 1KG
JEEERA 1KG,380,JEE1KG-0171,GENERAL,bag,100,10,JEEERA 1KG
ELLU SEEDS 1KG (TILL),380,ELLSEE1KG-0172,SEEDS,bag,100,10,ELLU SEEDS 1KG (TILL)
LG POWDER 50GM,102,LGPOW50G-0173,GENERAL,packet,100,10,LG POWDER 50GM
LG KATTI 50GM,92,LGKAT50G-0174,GENERAL,packet,100,10,LG KATTI 50GM
BADHAM 1KG,980,BAD1KG-0175,GENERAL,bag,100,10,BADHAM 1KG
PISTA SHELL BULK,2100,PISSHEBUL-0176,GENERAL,piece,100,10,PISTA SHELL BULK
G NUT ( DRYED ) 1KG,200,GNUTDRY-0177,GENERAL,bag,100,10,G NUT ( DRYED ) 1KG
STAR ANNISEED (ANASIPOO),900,STAANNANA-0178,GENERAL,piece,100,10,STAR ANNISEED (ANASIPOO)
SAKTHI TURMERIC POWDER 500GM,200,SAKTURPOW-0179,SPICES,packet,100,10,SAKTHI TURMERIC POWDER 500GM
SAKTHI CHILLI POWDER 500GM,207,SAKCHIPOW-0180,SPICES,packet,100,10,SAKTHI CHILLI POWDER 500GM
AC KULAMBU CHILLI POWDER 500GM,198,ACKULCHI-0181,SPICES,packet,100,10,AC KULAMBU CHILLI POWDER 500GM
GOLD WINNER 15LTR,2500,GOLWIN15L-0182,GENERAL,liter,100,10,GOLD WINNER 15LTR
MOCHAI 1KG,150,MOC1KG-0183,GENERAL,bag,100,10,MOCHAI 1KG
CHENNA BLACK GRAM,120,CHEBLAGRA-0184,DHALL,packet,100,10,CHENNA BLACK GRAM
GRAM DHALL 1KG,120,GRADHA1KG-0185,DHALL,bag,100,10,GRAM DHALL 1KG
AMULYA DAIRY WHITENER 500GM,245,AMUDAIWHI-0186,DAIRY,packet,100,10,AMULYA DAIRY WHITENER 500GM
AMUL MITHAI MATE 200GM,68,AMUMITMAT-0187,GENERAL,packet,100,10,AMUL MITHAI MATE 200GM
AMULYA AROMA COW GHEE 200ML,152,AMUAROCOW-0188,GHEE,ml,100,10,AMULYA AROMA COW GHEE 200ML
AMUL AROMA COW GHEE 100ML,85,AMUAROCOW-0189,GHEE,ml,100,10,AMUL AROMA COW GHEE 100ML
AMUL GOLD BUTTER COOKIES,20,AMUGOLBUT-0190,BAKERY,piece,100,10,AMUL GOLD BUTTER COOKIES
AMUL CHOCOLATE COOKIES,25,AMUCHOCOO-0191,BAKERY,piece,100,10,AMUL CHOCOLATE COOKIES
AMUL CASHEW COOKIES,20,AMUCASCOO-0192,SNACKS,piece,100,10,AMUL CASHEW COOKIES
NUTRI JAGGERY POWDER 1 KG,110,NUTJAGPOW-0193,GENERAL,bag,100,10,NUTRI JAGGERY POWDER 1 KG
NUTRI JAGGERY POWDER 500GM,62,NUTJAGPOW-0194,GENERAL,packet,100,10,NUTRI JAGGERY POWDER 500GM
HALD MOONG DAL,5,HALMOODAL-0195,DHALL,piece,100,10,HALD MOONG DAL
HALD CHIPS MAST MASALA,10,HALCHIMAS-0196,SPICES,piece,100,10,HALD CHIPS MAST MASALA
HALDIRAMS SNACKS,10,HALSNA-0197,GENERAL,piece,100,10,HALDIRAMS SNACKS
HALD LITE CHIWDA,45,HALLITCHI-0198,GENERAL,piece,100,10,HALD LITE CHIWDA
HALD ALL IN ONE,60,HALALLIN-0199,GENERAL,piece,100,10,HALD ALL IN ONE
MTR PULIYOGARE POWDER,10,MTRPULPOW-0200,GENERAL,piece,100,10,MTR PULIYOGARE POWDER
MTR BADAM MIX 200GM,136,MTRBADMIX-0201,GENERAL,packet,100,10,MTR BADAM MIX 200GM
BLACK ROSE,60,BLAROS-0202,GENERAL,piece,100,10,BLACK ROSE
V WASH 100ML,185,VWAS100-0203,GENERAL,ml,100,10,V WASH 100ML
V WASH 20ML,47,VWAS20M-0204,GENERAL,ml,100,10,V WASH 20ML
PONDS UT DTOX 50GM,120,PONUTDTO-0205,GENERAL,packet,100,10,PONDS UT DTOX 50GM
GLOW LOVELY BRIGHT,68,GLOLOVBRI-0206,GENERAL,piece,100,10,GLOW LOVELY BRIGHT
PONDS BB,25,PONBB-0207,GENERAL,piece,100,10,PONDS BB
DOVE HR SHP,4,DOVHRSHP-0208,GENERAL,piece,100,10,DOVE HR SHP
DOVE INT SHP,4,DOVINTSHP-0209,GENERAL,piece,100,10,DOVE INT SHP
AMULYA DAIRY WHITENER 20GM,10,AMUDAIWHI-0210,DAIRY,packet,100,10,AMULYA DAIRY WHITENER 20GM
JOHN POWDER NATURAL 100G,125,JOHPOWNAT-0211,GENERAL,piece,100,10,JOHN POWDER NATURAL 100G
JOHN POWDER BLODDOMS NATURAL 100G,130,JOHPOWBLO-0212,GENERAL,piece,100,10,JOHN POWDER BLODDOMS NATURAL 100G
JOHN OIL 50ML,75,JOHOIL50M-0213,OILS,ml,100,10,JOHN OIL 50ML
JOHN AVACODA HAIR OIL 60ML,95,JOHAVAHAI-0214,OILS,ml,100,10,JOHN AVACODA HAIR OIL 60ML
JOHN SOAP BLOSSOMS,75,JOHSOABLO-0215,PERSONAL_CARE,piece,100,10,JOHN SOAP BLOSSOMS
JOHN OIL 100ML,150,JOHOIL100-0216,OILS,ml,100,10,JOHN OIL 100ML
JOHN SHAMPOO 100ML,120,JOHSHA100-0217,PERSONAL_CARE,ml,100,10,JOHN SHAMPOO 100ML
JOHN BUDS,165,JOHBUD-0218,GENERAL,piece,100,10,JOHN BUDS
JOHN SHAMPOO 50ML,70,JOHSHA50M-0219,PERSONAL_CARE,ml,100,10,JOHN SHAMPOO 50ML
JOHN AVACODA HAIR OIL 100ML,170,JOHAVAHAI-0220,OILS,ml,100,10,JOHN AVACODA HAIR OIL 100ML
STAYFREE SECURE XL 12S,84,STASECXL-0221,GENERAL,piece,100,10,STAYFREE SECURE XL 12S
STAYFREE SECURE XL 40S,275,STASECXL-0222,GENERAL,piece,100,10,STAYFREE SECURE XL 40S
STAYFREE  NIGHTS XXL,50,STANIGXXL-0223,GENERAL,piece,100,10,STAYFREE  NIGHTS XXL
STAYFREE SECURE ULTRA XL,48,STASECULT-0224,GENERAL,liter,100,10,STAYFREE SECURE ULTRA XL
STAYFREE SECURE COTTAN XL,124,STASECCOT-0225,GENERAL,piece,100,10,STAYFREE SECURE COTTAN XL
CYC THREE IN ONE 110RS,110,CYCTHRIN-0226,GENERAL,piece,100,10,CYC THREE IN ONE 110RS
CYC SANDALUM,10,CYCSAN-0227,GENERAL,piece,100,10,CYC SANDALUM
CYC THREE IN ONE 55RS,55,CYCTHRIN-0228,GENERAL,piece,100,10,CYC THREE IN ONE 55RS
OM SHANTHI PURE DHUNO,50,OMSHAPUR-0229,GENERAL,piece,100,10,OM SHANTHI PURE DHUNO
CYC THREE IN ONE 30RS,30,CYCTHRIN-0230,GENERAL,piece,100,10,CYC THREE IN ONE 30RS
OM JASMINE OIL 500ML,115,OMJASOIL-0231,OILS,ml,100,10,OM JASMINE OIL 500ML
