S.No,ProductName,MRP
53,AC CORIANDER POWDER 200GM,56
54,AC BRIYANI MASALA 100GM,88
55,AC CURRY MASALA 50GM,30
56,AC CURRY MASALA 100GM,52
57,AC FISH CURRY 50GM,28
58,AC FISH FRY MASALA 50GM,36
59,AC MUTTON MASALA 100GM,64
60,AC MUTTON MASALA 50GM,30
61,AC KASHMIRI CHILLI POWDER 100GM.,118
62,AC CUMIN POWDER 50GM,42
63,AC CUMIN POWDER 100GM,83
64,AC CHICKEN 65 100GM,66
65,AC RASAM POWDER 50GM,38
66,AC RASAM POWDER 100GM,76
67,AC CHILLI CHICKEN MASALA 50GM,32
68,AC VATHA KULAMBU MASALA 50GM,26
69,AC IDIY CHILLI POWDER,10
70,DOVE DAILY SHINE,490
71,DOVE INTENSE REPAIR,447
72,INDULEKHA OIL,468
73,CLEAR,2
74,CLINIC PLUS,1
75,CLINIC PLUS SL,358
76,CHANDRIKA AYUR,110
77,SANTOOR ORG 100G,42
78,SANTOOR 100G 4*1,160
79,SOFTOUCH FRENCH PERFUME,235
80,SOFTOUCH ROYAL PERFUME,235
81,SOFTOUCH OCEAN BREEZE,235
82,SOFTOUCH GARDEN BOUQUET,235
83,SAFE WASH MAT LIQ 1LTR,99
84,DARWIN ACID 500G,60
85,KINDER CREAMY,30
86,KINDER JOY,50
87,NUTELLA 350GM,399
88,PASTA ELBO 500GM,75
89,PASTA PENNE 500GM,75
90,PASTA SPIRAL 500GM,75
91,BABINO ROST VERMICELLI 650GM JAR,110
92,BAMBINO VERMICELLI 400GM,52
93,BAMBINO VERMICELLI 850GM,85
94,BAMBINO VERMICHLLI 140GM,16
95,BAMBINO ROST VERMICELLI 200GM,30
96,BAMBINO ROST VERMICELLI 400GM,58
97,FORTUNE ATTA 1KG,102
98,FORTUNE 5 LTR JAR,895
99,FORTUNE 3 LTR JAR,585
100,FORTUNE ATTA 1/2 KG,50
101,FORTUNE SUPER BASMATHI RICE 1KG,220
102,MUSTARD OIL 200ML,75
103,MUSTARD OIL 500ML,125
104,THANGAM GINGELLY OIL 500ML,195
105,THANGAM GINGELLY OIL 1LTR,379
106,ELITE MILK RUSK 200GM,35
107,ELITE SOOJI RUSK 200GM,35
108,ELITE BUTTE CUP 100GM,30
109,ELITE DREAM CARROT CUP CAKE 150GM,50
110,ELITE DATES PUDING 150GM,60
111,ELITE BROWNIE CAKE 50GM,20
112,ELITE CAKE CHOCOLATE 140GM,40
113,MEDIMIX 125GM SET,135
114,MEDIMIX 150GM 4*1,252
115,MEDIMIX SANDAL 4*125GM,200
116,MEDIMIX 35GM,10
117,ASWINI 170ML,210
118,ACT-2 CHILLI SURPRISE,10
119,ACT-2 CLASSIC SALTED,10
120,ACT-2 MAGIC BUTTER,10
121,SUNDROP PEANUT BUTTER,295
122,HIM NEEM & TURMERIC,41
123,HIM GENTEL BABY SOAP 75GM,70
124,HIM REFRESHING BABY 75GM,70
125,HIM EXTRA MOISTURIZING BABY SOAP75GM,70
126,HIM GENTEL BABY SOAP 125GM,105
127,HIM EXTRA MOISTURIZING BABY SOAP 125GM,105
128,HIM REFRESHING BABY 125GM,95
129,HIM GENTLE BABY SHAMPOO 60ML,65
130,HIM GENTLE BABY SHAMPOO 110ML,120
131,HIM GENTLE BABY SHAMPOO 200ML,220
132,HIM BABY LOTION,115
133,HIM PUR NEEM FA WASH 50ML,90
134,HIM PUR NEEM FA WASH 100ML,189
135,HIM PASTE COM CARE 40GM,20
136,HIM PASTE COM CARE 150GM,177
137,IYARKAI GIN OIL 100ML,44
138,IYARKAI GIN OIL 200ML,82
139,IYARKAI GIN OIL 500ML,195
140,IYARKAI GIN OIL 1LTR,385
141,IYARKAI GIN OIL 15LTR,4500
142,REF SUNFLOWER OIL 15LTR,2500
143,GRB BAJJI BONDA MIX 200G,39
144,GRB BUTTER SCOTCH SOANPADI,58
145,GRB CHOCOLATE SOANPAPDI,75
146,GRB ELACHI SOANPAPDI,75
147,GRB GULAB JAMUN 125GM,40
148,GRB GULAB RASOGOLLA,40
149,GRB ORANGE SOANPAPDI,70
150,GRB PINEAPPLE SOANPAPDI,75
151,PET FROOTI 1800ML,100
152,TETRA FROOTI 125ML,10
153,TETRA CHOCOLATE SMOODU,10
154,UNIBIC BUTTER COOKIES,10
155,UNIBIC CASHEW COOKIES,40
156,UNIBIC CHOCOLATE CHOCO CHIP COOOKIES,30
157,UNIBIC CASHEW BADAM COOKIES,10
158,UNIBIC FRUIT & NUT COOKIES,10
159,UNIBIC FRUIT AND NUT COOKIES,30
160,TATA RED RICE AVAL,61
161,TATA SAMPN AVAL,57
162,CHINGS DARK SOY SAUCE,25
163,CHINGS RED CHILL SAUCE,25
164,CHINGS GREEN CHILLISAUCE,25
165,CHINGS HOT GARLIC NOODLES,20
166,PLAIN NOODLES 1KG,100
167,TRYMI ROUND APPALAM,110
168,TRYMI VADAGAM 1kg,180
169,PEPPER 1KG,1000
170,MUSTARD ( KADUGU ) 1KG,110
171,JEEERA 1KG,380
172,ELLU SEEDS 1KG (TILL),380
173,LG POWDER 50GM,102
174,LG KATTI 50GM,92
175,BADHAM 1KG,980
176,PISTA SHELL BULK,2100
177,G NUT ( DRYED ) 1KG,200
178,STAR ANNISEED (ANASIPOO),900
179,SAKTHI TURMERIC POWDER 500GM,200
180,SAKTHI CHILLI POWDER 500GM,207
181,AC KULAMBU CHILLI POWDER 500GM,198
182,GOLD WINNER 15LTR,2500
183,MOCHAI 1KG,150
184,CHENNA BLACK GRAM,120
185,GRAM DHALL 1KG,120
186,AMULYA DAIRY WHITENER 500GM,245
187,AMUL MITHAI MATE 200GM,68
188,AMULYA AROMA COW GHEE 200ML,152
189,AMUL AROMA COW GHEE 100ML,85
190,AMUL GOLD BUTTER COOKIES,20
191,AMUL CHOCOLATE COOKIES,25
192,AMUL CASHEW COOKIES,20
193,NUTRI JAGGERY POWDER 1 KG,110
194,NUTRI JAGGERY POWDER 500GM,62
195,HALD MOONG DAL,5
196,HALD CHIPS MAST MASALA,10
197,HALDIRAMS SNACKS,10
198,HALD LITE CHIWDA,45
199,HALD ALL IN ONE,60
200,MTR PULIYOGARE POWDER,10
201,MTR BADAM MIX 200GM,136
202,BLACK ROSE,60
203,V WASH 100ML,185
204,V WASH 20ML,47
205,PONDS UT DTOX 50GM,120
206,GLOW LOVELY BRIGHT,68
207,PONDS BB,25
208,DOVE HR SHP,4
209,DOVE INT SHP,4
210,AMULYA DAIRY WHITENER 20GM,10
211,JOHN POWDER NATURAL 100G,125
212,JOHN POWDER BLODDOMS NATURAL 100G,130
213,JOHN OIL 50ML,75
214,JOHN AVACODA HAIR OIL 60ML,95
215,JOHN SOAP BLOSSOMS,75
216,JOHN OIL 100ML,150
217,JOHN SHAMPOO 100ML,120
218,JOHN BUDS,165
219,JOHN SHAMPOO 50ML,70
220,JOHN AVACODA HAIR OIL 100ML,170
221,STAYFREE SECURE XL 12S,84
222,STAYFREE SECURE XL 40S,275
223,STAYFREE  NIGHTS XXL,50
224,STAYFREE SECURE ULTRA XL,48
225,STAYFREE SECURE COTTAN XL,124
226,CYC THREE IN ONE 110RS,110
227,CYC SANDALUM,10
228,CYC THREE IN ONE 55RS,55
229,OM SHANTHI PURE DHUNO,50
230,CYC THREE IN ONE 30RS,30
231,OM JASMINE OIL 500ML,115
232,OM PARIJATA OIL 500ML,115
233,OM PARIJATA OIL 1LTR,220
234,FOGG MAN MARCO,225
235,FOGG WOMAN ESSENCE,225
236,FOGG WOMAN PARADISE,225
237,OSSUM TEASER,250
238,OSSUM  APPEAL,250
239,OSSUM CHERISH,250
240,FOGG DYNAMIC,299
241,FOGG EXTREME,299
242,CYC SANDALUM CONES,10
243,TAMARIND,200
244,NEETTU CHILLY 25KG,160
245,NEW CHILLY,160
246,DHANIYA 1KG,150
247,CINNAMON PATTA,520
248,CLOVES,1350
249,CARDAMOM (ELAKAI),3600
250,ANIL DOUBLE ROASTED RAVA 500GM,47
251,CORN FLOUR 1KG,110
252,ORID DHALL 1KG,130
253,JAGGERY 1KG,85
254,GARLIC 1KG,180
255,TATA CRYSTAL SALT 1KG,20
256,TATA SALT POWDER 1KG,30
257,CRYSTAL SALT 1KG,20
258,SALT POWDER 1KG,30
259,3ROSES TEA 500GM,400
260,CHANNA DAL 50KGM,4200
261,AC LEMON PICKLE 5KG,450
262,SUNRISE EXTRA 200GM,1400
263,MAGGI 140GM,30
264,MAGGI 280GM,60
265,KITKAT 5RS,5
266,KITKAT 10RS,10
267,KITKAT 5RS BOX,290
268,KITKAT 10RS BOX,490
269,MAGGI 70GM,15
270,MAGGI PAZZTA,30
271,SUNRISE 5RS,5
272,SUNRISE 10RS,10
273,NUTTELLA 180GM,249
274,MALKIST CHEESE,50
275,ANNAI B DATES 200GM CUP,165
276,ANNAI B DATES 500GM CUP,290
277,ANNAI B DATES 500GM PKT,278
278,MYSORE SANDAL 75GM,42
279,MYSORE SANDAL 125GM,69
280,SWASTIK 250GM,400
281,MR GOLD GROUNDNUTOIL 1LTR,205
282,SWASTIK 50GM,90
283,SWASTIK 25GM,40
284,UDHAI TOOR DHALL 1KG,161
285,UDHAI TOOR DHALL 500KM,84
286,UDHAI ORID DHALL 500GM,89
287,UDHAI ORID DHALL 1KG,154
288,VAPORUB XTRA STRONG 50ML,215
289,VAPORUB XTRA STRONG 25ML,125
290,VAPORUB XTRA STRONG 10ML,55
291,VAPORUB BABYRUB 50ML,215
292,PANTENE LC 340ML,375
293,PANTENE LC 90ML,86
294,PANTENE DR 340ML,375
295,GILLETTE 70 CLOCK,20
296,GILLETTE GUARD,25
297,GILLETTE PRESTO,25
298,CAUSTIC SODA 1KG,120
299,BLEACHING POWDER 1KG,90
300,WHIS SOFT XLL,450
301,WHIS KOALA PANTS L,399
302,WHIS KOALA PANTS XL,425
303,VIM BAR 300GM,20
304,VIM BAR 70GM,5
305,VIM BAR250,32
306,VIM BAR 110GM,10
307,SURF EXCEL QW POWDER 500GM,115
308,SURF EXCEL QW POWDER 1KG,220
309,SURF EXCEL EW 1KG,178
310,SURF EXCEL EW 500GM,89
311,SURF EXCEL BAR 20RS,20
312,SURF EXCEL BAR 10RS,10
313,SURF EXCEL MATIC TL 1LTR,149
314,SURF EXCEL MATIC FL 1LTR,179
315,PEARS NATURALE ALOEVERA,50
316,PEARS NATURALE POMEGRANATE,50
317,PEARS OIL CLEAR GLOE,63
318,PEARS PURE & GENTLE,40
319,PEARS SOFT & FRESH 100GM,56
320,PEARS PURE & GENTLE 3*125,229
321,COMFORT DESIRE 210ML,65
322,COMFORT DESIRE 850ML,245
323,COMFORT ROYAL 850ML,245
324,COMFORT MORNING FRESH 850ML,235
325,COMFORT LILY FRESH 850ML,235
326,COMFORT LILY FRESH 210ML,58
327,DOVE PINNK BAR 100GM,75
328,DOVE FRESH MOLSTURE 75GM,75
329,LIFEBUOY ALMOND & TURMERIC 100GM,34
330,LIFEBUOY CARE 100GM,40
331,LIFEBUOY NEEM & ALOE 100GM,40
332,LUX ADV EVEN TONED GLOW 100GM,36
333,LUX ADV BRIGHTER GLOW 100GM,40
334,LUX ADV BRIGHTER GLOW 43GM,10
335,LUX ADV CLEAR GLOW 100GM,44
336,LUX ADV CLEAR GLOW 43GM,10
337,LUX FRESH GLOW 100GM,46
338,LUX FRESH GLOW 43GM,10
339,LUX ADV CLEAR GLOW 3*150G,190
340,HAMAM PURE LEMON 100G,44
341,HAMAM PURE NEEM OIL 100G,45
342,HAMAM PURE TURMERIC,45
343,VIM BAR PUDINA FRESH 110G,10
344,MEERA ANTI DANDRUFF 180ML,215
345,MEERA SHAMPOO 180ML,195
346,MEERA HERBLE 120ML,115
347,KARTHIKA HERBAL 180ML,58
348,SPINZ BB FACE POWDER,65
349,MEERA SHMPOO,2
350,KARTHIKA SHMPOO,1
351,VVD GOLD 500ML POUCH,260
352,AVT COFFEE 200GM,180
353,AVT GOLDCUP 250GM,215
354,AVT  HOTEL BLEND 1KG,317
355,PRIL LIME 225ML,55
356,PRIL LIME 750ML,204
357,PRIL LIME 140ML,55
358,COMPIAN CHOCOLATE 200GM JAR,155
359,MARGO SOAP 4*1,180
360,CAVINS BUTERCOTCH 180ML,40
361,CAVINS VANILA 180ML,40
362,PRINGLES OG CHISPS 40GM,60
363,KELL CHOCOS 250,153
364,LEVISTA STRONG COFFEE 10RS,10
365,LEVISTA PREMIUM 10RS,10
366,LEVISTA PREMIUM 5RS,5
367,LEVISTA STRONG COFFEE 5RS,5
368,MORELIGTH LQ 5LTR,360
369,UJALA BLISS 900ML,235
370,UJALA AURA 210ML,58
371,GREEN MOONG 30KG,3500
372,GREEN PEAS 30KG,4300
373,AC BAJJIBONDA POWDER 200GM,42
374,AC BAJJIBONDA POWDER 500GM,104
375,AC CUTMANGO PICKLE 200GM,89
376,AC LEMON PICKLE 200GM,89
377,AC CITRON PICKLE 200GM,90
378,AC MANGO THOKKU 200GM,89
379,AC GINGER PICKLE 200GM,95
380,AC MANGO THOKKU 100GM,50
381,AC LEMON PICKLE 100GM,50
382,AC CITRON PICKLE 100GM,50
383,AC CUTMANGO PICKLE 100GM,50
384,AC GARLIC PICKLES 100GM,55
385,AC ROYAL SEMIYA PAYASAM 100GM,70
386,AC ROYAL SEMIYA PAYASAM 200GM,135
387,AC IDIY CHILLI POWDER 50GM,22
388,AC IDIY CHILLI POWDER 100GM,42
389,NAGA RAVA 1KG,102
390,NAGA RAVAI 500GM,50
391,RKG GHEE 1LTR,970
392,PITAMBARI 150G,45
393,PITAMBARI 50G,28
394,SUVAI SEMIYA 180GM,23
395,SUVAI RAGI SEMIYA 180GM,26
396,XO BLUE PEN 10RS,10
397,XO BLUE GEL PEN 10RS,10
398,XO CATRAGE 60RS,60
399,AGNI ACID 600ML,60
400,LION DEESEEDCUO 500GM,160
401,LION DESERTKING CUP 250GM,142
402,LION DESERTKING CUP 500GM,280
403,LION JAM 100GM,23
404,LION FRUIT JAM 250GM,120
405,WHITE STICK 60RS,60
406,BLACK STICK 60RS,60
407,SIVAN ECO VATHTHI,70
408,UPASANA VATHTHI,60
409,ROSMAX VATHTHI,60
410,BOOST 5RS,5
411,CLINIC PLUS ST AND THICK  650ML,719
412,DOVE SERUM BAR 100GM,65
413,HAMAM PURE NEEM OIL 4*1,168
414,HORLICKS 5RS,5
415,VIM COOLING FRESH 500ML,156
416,VIM LIQULD 200ML,25
417,VIM LIQULD 120ML,15
418,3ROSES TEA TS 100GM,90
419,3ROSES TEA 250GM,250
420,3ROSES NATURAL TEA 250GM,245
421,3ROSES NATURAL TEA 100GM,100
422,BOOST 500GM,299
423,HORLICKS DIABETES PIUS CHOCOLATE 200GM,399
424,HORLICKS DIABETES PIUS VANILLA 400GM,790
425,3ROSES HOTEL PACK,360
426,HORLICKS MOTHERS PLUS VANILLA 500GM,620
427,HORLICKS MOTHERS PLUS KESAR 200GM,299
428,HORLICKS WOMAN PLUS CARAMEL 400GM JAR,355
429,HORLICKS WOMAN PLUS CHOCOLATE 400GM JAR,365
430,HORLICKS WOMAN PLUS CHOCOLATE 400GM J PCK,330
431,HORLICKS LITE 450GM JAR,345
432,PADDY 1KG,40
433,SOLUM (WHITE) 1KG,70
434,RAGI 1KG,50
435,WHEAT 1KG.,50
436,KURUVI THENAI 1KG,50
437,GREEN PEAS 1KG,150
438,METHI (VENTHAYAM) 1KG,100
439,KAMBU 1KG (BAJRA),40
440,PUTTU FLOUR 200GM,40
441,AASHIRVAAD ATTA 1KG,73
442,ANIL RICE FLOUR 500GM,39
443,MILKMAID 380GM,152
444,TIGER ROSEMILK,43
445,BROWN SUGAR 1KG,120
446,OMAM 1KG,200
447,WET DATES 1KG,100
448,BLACK DRY GRAPES,350
449,SALT PISTA 1KG,1000
450,JAVADHU,44
451,VSR VEX MIX 5KG,475
452,VSR CITRON 5KG,475
453,VSR GARLIC 5KG,550
454,VSR GINGER 5KG,500
455,CHILLY SAUCE 650GM,53
456,DARK SOY SAUCE 700GM,60
457,MIXED FRUIT JAM 4KG,470
458,MIXED FRUIT JAM 500GM,75
459,CHILLY SAUCE 8GM,700
460,ROSE SHARBAT 700MI,140
461,NANNAARI SHARBAT 700ML,85
462,TOMATO SAUCE 1LTR,90
463,AC BADAM MIX 200GM,175
464,SAGO 1KG,94
465,RF PEPPAR POWDER 50GM,70
466,ANIL INS IDIYAPPAM 150GM,72
467,ANIL NOODLS 20RS,20
468,ANIL RICE VERMICELLI 200GM,33
469,GOKULAM SEED  DATES 500GM 1+1,190
470,GOKULAM BLACK DATES 200 POUCH,100
471,GOKULAM BLACK DATES 500POUCH,253
472,GOKULAM BLACK DATES 300BOX,165
473,DARSHAN SUGANDHAWARNA 60RS,60
474,PILLSBURY ATTA 10KG,600
475,POPULAR 200G,140
476,POPULAR 175G,126
477,POPULAR 145G,99
478,GREEN MOONG 1KG,130
479,COMPLAN  KASERBADAM 500GM,375
480,COMPLAN PISTA BADAM 500GM,360
481,BANJARAS ROSE WATER 60ML,30
482,BANJARAS ROSE WATER 125ML,50
483,TT ASAFOETIDA 50GM KATTI,91
484,LEVISTA EXTRA STRONG 5GM PCK,1250
485,MANNA LITTLE MILLET 500G,149
486,MANNA BARNYARD MILLET 500G,149
487,MANNA KODA MILLET 500G,99
488,MANNA FOXTAIL MILLET 500G,149
489,SUGAR FREE 30G,220
490,CHANDRIKA AYUR 125G,52
491,CHANDRIKA AYUR 75G,37
492,CHANDRIKA AYUR  30G,10
493,SNICKERS 22G,20
494,SNICKERS 10RS,10
495,GALAXY,10
496,ORBIT LEMON,5
497,ORBIT RAW MANGO,5
498,ORBIT SPEAMINT,5
499,ORBIT SWEETMINT,5
500,COFFY BITE CLASSIC PKT,100
501,LACTOKING,100
502,ECLAIRS CHOCO,100
503,AVT GOLDCUP 100GM,90
504,AVT GOLDCUP 250GM JAR,225
505,COCONUT PUNCH,100
506,LOT CHOCOPIE 10RS,10
507,LOT CHOCOPIE ORANGE 10RS,10
508,CINTHOL ORIGINAL 100G,45
509,CINTHOL ORIGINAL 75G,35
510,CINTHOL LIME 150G,59
511,CINTHOL LIME 100G,45
512,CINTHOL LIME SET 4 PCS,115
513,CINTHOL COOL 100G,45
514,CINTHOL COOL 40G,10
515,CINTHOL LIME 40G,10
516,GOOD KNIGHT 45ML,85
517,GOOD KNIGHT GOLD COMBO,105
518,GOOD KNIGHT TWINS,165
519,HIT RED 125ML,75
520,HIT RED 320ML,210
521,HIT RAT GLUE PAD 50G,120
522,HIT RAT GLUE PAD 25G,50
523,AT VINEGAR 750ML,38
524,AT ROSE WATER 750ML,35
525,AT ROSE WATER 200ML,28
526,DRY GROUND (VERKADALAI),200
527,AC GARAM MASALA 50GM,36
528,NAGA MAIDHA 1KG,92
529,MAIDHA 50KG BAG,2500
530,VENTHAYAM (METHI) 1KG,100
531,CLOSEUP 150G,135
532,CLOSEUP 90G,72
533,DOVE HAIR FALL RESCUE SHAMPOO 75ML,102
534,INDULEKHA BRING SHAMPOO 100ML,153
535,INDULEKHA BRING SHAMPOO 200ML,278
536,INDULEKHA BRING OIL 22ML,99
537,INDULEKHA BRING OIL 50ML,234
538,INDULEKHA BRING SHAMPOO 2RS,2
539,PONDS BB 15G,65
540,PEPSODENT 10RS,10
541,PONDS BB DETOX FACEWASH,35
542,PONDS BB 50G,98
543,PONDS TALC MAGIC 400G,459
544,FAIR LOVELY 50G,135
545,FAIR LOVELY 25G,70
546,RF SAMBA WHEAT BROKEN 500GM,100
547,O M MURUGA,25
548,RF IDLY POWDER,32
549,RF BAJJI FLOUR 200G,55
550,RF BAJJI FLOUR 500G,85
551,EYETEX HOOK 50GM,58
552,EYETEX SINGLE SANI CUBE 90GM,52
553,EYETEX DOUBLE SANI CUBE 180GM,100
554,EYETEX PERFUMR LAVENDER,60
555,EYETEX PERFUMR MISTY PINK,60
556,EYETEX PERFUMR JASMINE,60
557,EYETEX PERFUMR FLORAL BREEZE,60
558,EYETEX PERFUMR MESMERIZING MIST,60
559,ELITE CLASSIC RUSK 500GM,75
560,ELITE RAVAI 500GM,47
561,ELITE RAVAI 1KG,91
562,NARASUS UDHAYAM 200G,187
563,NARASUS UDHAYAM 100G,95
564,NARASUS COFFEE 200G,234
565,MEDIMIX 125GM,47
566,MEDIMIX CLEAR GLYCERINE,134
567,MEDIMIX HERBAL HANDWASH 700ML,115
568,MEDIMIX SANDAL HANDWASH 700ML,115
569,ACT SOUR CREAM & CHEESE,15
570,GOOD HOME STEEL SCRUBBER 15RS,15
571,GOOD HOME SCRUBER,10
572,GOOD HOME MULTI SURFACE CLEANER,95
573,GOOD HOME AFR 50GM 2+1,110
574,GOOD HOME AFR 75GM 2+1,170
575,GOOD HOME DRAIN CLEANER,30
576,EVA BLUSE 125ML,160
577,EVA DOLL 125ML,160
578,EVA SWEET 125ML,160
579,EVA GROOVE 125ML,160
580,WOODWARDS GRIPE WATER 200G,90
581,GOOD HOME AROMA PERFU LAVENDER,60
582,GOOD HOME AROMA PERFU LEMON,60
583,GOOD HOME AROMA PERFU ROSE,60
584,GOOD HOME AROMA PERFU JASMINE,60
585,EVA SOFT & ALOE,95
586,HIM AIMOND & ROSE,41
587,HIM CUCUMBER & COCONUT,41
588,AC MIXED FRUIT JAM 100GM,25
589,AC ROYAL GULAB JAMUN 175GM,145
590,AC CUTMANGO PICKLE 10RS,10
591,AC LEMON PICKLE 10RS,10
592,AC CITRON PICKLE 10RS,10
593,AC MANGO THOKKU 10RS,10
594,AC GARLIC PICKLES 10RS,10
595,AC SPL CHILLI POWDER 500GM,180
596,AC CHAAT MASALA,30
597,AC CHANNA MASALA,35
598,AC PANI PURI MASALA,33
599,AC PANEER  BUTTER,32
600,50-50 MASKA CHASKA,10
601,BOURBON 100G,20
602,BOURBON 50G,10
603,GOOD DAY BUTTER 10RS,10
604,GOOD DAY CASHEW 200G,50
605,GOOD DAY CASHEW 10RS,10
606,GOOD DAY CASHEW JEERA,20
607,GOOD DAY CHOCO 30RS,30
608,GOOD DAY FRUIT,20
609,GOOD DAY CHOCO 10RS,9
610,LITTLE HEARTS,10
611,MARIEGOOD 250G,40
612,MARIEGOOD 210G,30
613,MILK BIKIS 150G,35
614,MILK BIKIS 160G,20
615,MILK BIKIS 300G,45
616,MILK BIKIS CLASSIC 50G,10
617,MILK BIKIS MILK CREAM 112G,30
618,MILK BIKIS MILK CREAM 200G,55
619,MILK BIKIS MILK CREAM47G,10
620,MILK BIKIS REGULAR 87G,15
621,NUTRI CHOICE 91G,20
622,NUTRI CHOICE 60G,10
623,PURE MAGIC CHOCO ST,40
624,TIGER BRITA BIS,30
625,TREAT JIMJAM 57G,10
626,TREAT ORANGE 51G,10
627,VITA MARIE GOLG 56G,10
628,BAR CAKE GOBBLES CHOCO 45G,15
629,BAR CAKE GOBBLES FRUIT 45G,15
630,BAR CAKE GOBBLES MILK  45G,15
631,BAR CHOCH BROWNIES,30
632,TREAT CROISSANT CHOCO,20
633,BAR GOBBLES RED VELVET,30
634,TIME PASS CHEESY,10
635,TIME PASS CHEESY TOM,10
636,50-50 TIME PASS CLASSIC,10
637,TREAT CREME WAFERS CHOCO,10
638,TREAT CREME WAFERS CHEESY,10
639,GILLETTE  GUARD 25GM,29
640,GILLETTE  GUARD 125GM,70
641,GILLETTE  FOAM 50G,90
642,ON SENS 60RS,60
643,OB SENS 85RS,85
644,OB SENS CARE 6+2,150
645,OB SENS CARE 5S,135
646,OB KIDS TOM & JERRY,79
647,OB KIDS 1S,50
648,OB CRISSCROSS,140
649,OB SENS GUMS 5N,135
650,OB CAVITY DEFENSE,99
651,OB CAVITY DEFENSE PROTECTION,120
652,WHIS CHOICE XL 36S,235
653,WHIS CHOICE XL 20S,160
654,WHIS CHOICE XL 18S,120
655,TIDE NATURALS 500G,45
656,TIDE NATURALS 1KG,85
657,TIDE DOUBLE POWER L&M 1KG,150
658,ARIEL MATIC LIQUID FL 2L,379
659,ARIEL MATIC LIQUID TL  2L,319
660,ARIEL PERFECTWASH 500GM,89
661,ARIEL PERFECTWASH 1KG,179
662,CORN CHIPES 1KG,80
663,CURD CHILLE 1KG,250
664,MEAL MEKKAR 1KG (SMALL),100
665,MEAL MEKKAR 1KG ( BIG ),140
666,SUNDAKKAO VATHAL 1KG,300
667,ORANGE MITTAI 1KG,125
668,JEERA MIT 1KG,150
669,KOLUKATTAI MAVOO 500GM,72
670,KAMBU MAVOO 1KG,64
671,RAAGI FLOUR 500GM,69
672,LIZOL CITRUS 500ML,123
673,HARPIC BLUE ORIGINAL 500ML,110
674,HARPIC BLUE ORIGINAL 200ML,46
675,HARPIC RED LEMON 200ML,61
676,HARPIC RED FLORAL200ML,61
677,HARPIC RED LEMON 500ML,115
678,HARPIC RED FLORAL 500ML,115
679,LIZOL FLORAL 200ML,48
680,LIZOL JASIME 200ML,48
681,LIZOL SANDAL 500ML,123
682,LIZOL NEEM 500ML,123
683,LIZOL CITRUS 975ML,235
684,DETTOL COOL 10RS,10
685,DETTOL ORIGINAL 10RS,10
686,DETTOL SET ORIGINAL 150GM,210
687,DETTOL MENTHOL COOL 250ML,148
688,DETTOL LIME FRESH 250ML,148
689,DETTOL ANTISEPTIC LIQUID 125ML,80
690,DETTOL HANDWASH POUCH 175ML,140
691,DETTOL LIME FRESH 550ML,256
692,DETTOL MENTHOL COOL 550ML,256
693,DETTOL ANTISEPTIC LIQUID 250ML,170
694,SOLUM (WHITE) FOR GRINDING,80
